El Milia,36.75,6.2667,Algeria,DZA,"83,931"
Hamma Bouziane,36.5333,6.7167,Algeria,DZA,"83,603"
Chelghoum el Aid,36.1667,6.1667,Algeria,DZA,"82,560"
Dar el Beida,36.7142,3.2125,Algeria,DZA,"81,509"
Oum el Bouaghi,35.8775,7.1136,Algeria,DZA,"80,359"
Sougueur,35.1833,1.5,Algeria,DZA,"78,956"
Taher,36.7719,5.8983,Algeria,DZA,"78,500"
Birkhadem,36.7167,3.05,Algeria,DZA,"77,749"
Bir el Ater,34.7497,8.0578,Algeria,DZA,"77,727"
Khemis el Khechna,36.65,3.3306,Algeria,DZA,"76,474"
Merouana,35.6333,5.9167,Algeria,DZA,"76,000"
Ain Temouchent,35.3,-1.1333,Algeria,DZA,"75,558"
Cheria,35.2667,7.75,Algeria,DZA,"75,344"
Tissemsilt,35.6078,1.8111,Algeria,DZA,"75,197"
Ain Oulmene,35.9167,5.3,Algeria,DZA,"73,831"
Sig,35.5278,-0.1861,Algeria,DZA,"70,499"
Mila,36.4503,6.2644,Algeria,DZA,"69,052"
Bouira,36.38,3.9014,Algeria,DZA,"68,545"
Adrar,27.8667,-0.2833,Algeria,DZA,"68,276"
Ksar el Boukhari,35.8856,2.7508,Algeria,DZA,"67,813"
Reghaia,36.7631,3.3426,Algeria,DZA,"66,215"
Ain Defla,36.2652,1.9703,Algeria,DZA,"65,453"
Hadjout,36.5167,2.4167,Algeria,DZA,"65,300"
Mecheria,33.55,-0.2833,Algeria,DZA,"65,043"
Bordj Menaiel,36.7417,3.7231,Algeria,DZA,"64,820"
Oued Rhiou,35.9667,0.9167,Algeria,DZA,"64,685"
Assi Bou Nif,35.7,-0.5,Algeria,DZA,"63,581"
Ouled Djellal,34.4167,5.0667,Algeria,DZA,"63,237"
Tighenif,35.4167,0.3333,Algeria,DZA,"62,210"
Rouiba,36.7333,3.2833,Algeria,DZA,"61,984"
Kolea,36.6406,2.765,Algeria,DZA,"61,643"
Berrouaghia,36.1333,2.9167,Algeria,DZA,"60,152"
Baba Hassen,36.7,2.9667,Algeria,DZA,"60,000"
Meskiana,35.6333,7.6667,Algeria,DZA,"60,000"
Ain Touta,35.3833,5.9,Algeria,DZA,"59,904"
Lakhdaria,36.5622,3.5944,Algeria,DZA,"59,746"
Sidi ech Chahmi,35.6667,-0.5167,Algeria,DZA,"58,857"
