cluster,minLat,maxLat,minLng,maxLng
909,35.354,35.354,-95.4484,-95.4484
910,-7.16459,-7.16459,142.971,142.971
911,-6.9505,-6.64778,37.4212,37.5593
912,-22.9217,-22.9217,-59.1497,-59.1497
913,41.6911,41.8299,12.982,13.1575
914,59.9746,59.9746,39.7084,39.7084
915,-28.745,-28.745,149.409,149.409
916,42.2478,42.2478,-73.127,-73.127
917,32.7421,32.7421,60.2508,60.2508
918,25.1204,25.1204,117.939,117.939
919,63.9567,63.9567,131.959,131.959
920,38.7795,38.7795,31.4914,31.4914
921,0.671164,0.671164,41.8261,41.8261
922,40.9204,40.9204,83.6735,83.6735
923,41.7768,41.7768,70.3738,70.3738
924,-1.25302,-0.955933,36.9101,37.167
925,66.6416,66.6416,52.982,52.982
926,24.0181,24.0181,68.8677,68.8677
927,40.6454,40.6454,42.0509,42.0509
928,36.6228,36.6228,111.905,111.905
929,28.9415,28.9415,102.714,102.714
930,30.3363,30.3363,114.847,114.847
931,24.8178,24.8178,109.874,109.874
932,29.6288,29.6288,105.422,105.422
933,28.8404,29.1622,117.428,117.451
934,39.7927,39.7927,-93.0881,-93.0881
935,-36.9441,-36.9441,147.392,147.392
936,17.2264,17.2264,-99.2196,-99.2196
937,-40.5821,-40.5821,174.495,174.495
938,18.0065,18.0078,-99.0399,-98.8272
939,45.5457,45.5457,63.3028,63.3028
940,61.4991,61.4991,150.45,150.45
941,0.354526,0.648437,32.5857,32.7263
942,-31.4627,-31.4627,149.072,149.072
943,48.8353,49.059,20.8647,21.2657
944,49.6716,49.8767,19.1174,19.7971
945,0.581347,0.917951,42.9558,43.3182
946,-17.6517,-17.6517,168.381,168.381
947,30.0976,30.0976,104.391,104.391
948,23.4359,23.5424,112.304,112.446
949,44.5387,44.5387,-120.297,-120.297
950,39.3482,39.6918,69.2454,69.4597
951,28.2752,28.2752,106.413,106.413
952,46.6027,47.1999,24.6069,25.6793
953,42.211,42.211,-88.0318,-88.0318
954,40.8275,40.9307,40.0139,40.5211
955,52.2417,52.2417,117.806,117.806
956,46.5755,46.5755,123.35,123.35
957,14.5368,14.8371,44.1777,44.4596
958,7.75432,7.75432,34.023,34.023
959,26.56,26.56,-98.3212,-98.3212
960,35.0976,35.0976,-77.4251,-77.4251
961,38.4991,38.6122,140.467,140.77
962,29.24,29.24,86.8106,86.8106
963,13.7574,13.7574,2.69808,2.69808
964,29.6764,29.6764,-92.5707,-92.5707
965,50.8534,51.0242,4.35761,4.98754
966,45.7638,45.7638,16.833,16.833
967,20.2969,20.4037,74.4164,74.748
968,30.6642,30.6642,-87.05,-87.05
969,38.9567,39.1877,-94.646,-94.1557
970,7.05753,7.05753,-10.9621,-10.9621
971,11.0162,11.0162,2.31523,2.31523
972,8.73715,8.84162,4.47296,4.48983
973,35.6376,35.8403,4.12995,4.2037
974,16.1464,16.1464,79.4042,79.4042
975,-25.2628,-25.2628,-51.261,-51.261
976,29.4084,29.5326,-98.3901,-98.3593
977,36.7091,36.7439,-95.4115,-95.2398
978,51.1161,51.1161,8.67822,8.67822
979,-20.2325,-19.7644,34.2547,34.9058
980,30.8574,30.8786,-95.5367,-95.4957
981,-3.8614,-3.8614,18.9616,18.9616
982,45.7332,45.7332,-121.499,-121.499
983,4.28471,4.81717,103.134,103.263
984,-18.0546,-18.0546,179.037,179.037
985,39.196,39.2186,-86.5177,-86.4337
986,32.2778,32.2778,-94.7091,-94.7091
987,-30.9129,-30.5573,29.8704,30.1336
988,-26.4204,-26.4204,151.005,151.005
989,-0.357822,-0.357822,102.854,102.854
990,15.5463,15.5463,102.126,102.126
991,-5.50598,-5.50598,-74.7936,-74.7936
992,5.69693,6.03141,-74.7482,-74.1581
993,49.2392,49.2392,25.2381,25.2381
994,-22.4264,-22.4264,116.293,116.293
995,-12.6952,-12.6952,-66.7448,-66.7448
996,48.2491,48.7569,-97.5977,-97.0308
997,2.72862,2.72862,-71.5096,-71.5096
998,52.406,52.406,25.9533,25.9533
999,40.5341,40.5341,-106.211,-106.211
1000,48.9515,48.9515,8.09713,8.09713
1001,-3.40199,-3.40199,-69.9695,-69.9695
