Country,ISOURBID,ISO3,URBID,NAME,SCHNM,SQKM_FINAL,latitude,longitude
Uganda,UGA90028,UGA,90028,BUSHENYI,BUSHENYI,15.7559,-0.533330559,30.21666888
Uganda,UGA90018,UGA,90018,KAYUNGA,KAYUNGA,15.7295,0.709993301,32.88999903
Uganda,UGA57750,UGA,57750,KITGUM,KITGUM,1.71443,3.297903699,32.87885228
Uganda,UGA90008,UGA,90008,KUMI,KUMI,13.2679,1.48327191,33.93333418
Uganda,UGA90005,UGA,90005,PAIDHA,PAIDHA,11.1851,2.418629255,30.98372101
Uganda,UGA90015,UGA,90015,LUWERO,LUWERO,12.6146,0.846377374,32.4841649
Uganda,UGA58138,UGA,58138,JINJA,JINJA,129.353,0.469026611,33.23191106
Uganda,UGA57961,UGA,57961,MASINDI,MASINDI,10.2513,1.686007377,31.71034088
Uganda,UGA58127,UGA,58127,BOMBO,BOMBO,3.47159,0.584138869,32.5412735
Uganda,UGA57849,UGA,57849,MOROTO,MOROTO,1.42726,2.533960634,34.66064972
Uganda,UGA90022,UGA,90022,HIMA,HIMA,11.0462,0.299999531,30.16666591
Uganda,UGA90016,UGA,90016,BUSEMBATIA,BUSEMBATIA,10.9412,0.776102555,33.62527839
Uganda,UGA90020,UGA,90020,MUBENDE,MUBENDE,10.7333,0.583329611,31.38333309
Uganda,UGA90031,UGA,90031,RUKUNGIRI,RUKUNGIRI,9.97262,-0.799990374,29.91666593
Uganda,UGA58151,UGA,58151,KAMPALA,KAMPALA,561.789,0.326784626,32.6086863
Uganda,UGA90034,UGA,90034,KISORO,KISORO,8.81057,-1.28329357,29.68333227
Uganda,UGA58177,UGA,58177,MPIGI,MPIGI,0.713878,0.222396638,32.32964525
Uganda,UGA90019,UGA,90019,MALABA,MALABA,8.33195,0.669994497,34.25999838
Uganda,UGA90004,UGA,90004,NEBBI,NEBBI,8.25504,2.483045525,31.0833339
Uganda,UGA58109,UGA,58109,BUNDIBUGYO,BUNDIBUGYO,0.788085,0.708510762,30.06195397
Uganda,UGA57691,UGA,57691,MOYO,MOYO,1.92534,3.657527518,31.72149806
Uganda,UGA58074,UGA,58074,KAMULI,KAMULI,0.749671,0.952503246,33.1230223
Uganda,UGA90024,UGA,90024,LUKAYA,LUKAYA,7.64405,-0.129999932,31.87999911
Uganda,UGA90025,UGA,90025,KATWE-KABATORO,KATWE-KABATORO,7.56458,-0.133333254,29.88332933
Uganda,UGA90006,UGA,90006,APAC,APAC,6.97019,1.983186652,32.53333248
Uganda,UGA90009,UGA,90009,NGORA,NGORA,6.66057,1.459941752,33.77000058
Uganda,UGA90017,UGA,90017,WOBULENZI,WOBULENZI,6.54071,0.717215256,32.52833172
Uganda,UGA90027,UGA,90027,LYANTONDE,LYANTONDE,6.45917,-0.399998745,31.14999948
Uganda,UGA90012,UGA,90012,NAKASONGORA,NAKASONGORA,6.45117,1.316624113,32.46667061
Uganda,UGA90014,UGA,90014,KIBOGA,KIBOGA,6.41525,0.933318056,31.79999919
Uganda,UGA57721,UGA,57721,KAABONG,KAABONG,1.93221,3.522502504,34.12848861
Uganda,UGA90023,UGA,90023,KILEMBE,KILEMBE,6.33371,0.199999863,29.99999992
Uganda,UGA57861,UGA,57861,PAKWACH,PAKWACH,1.23877,2.465436801,31.4968243
Uganda,UGA90029,UGA,90029,KYOTERA,KYOTERA,6.23207,-0.633328615,31.56666931
Uganda,UGA90010,UGA,90010,HOIMA,HOIMA,5.68093,1.433277907,31.35000024
Uganda,UGA90011,UGA,90011,KAPCHORWA,KAPCHORWA,5.66685,1.39994843,34.45000048
Uganda,UGA90003,UGA,90003,KOTIDO,KOTIDO,5.60062,2.999999981,34.09999826
Uganda,UGA90001,UGA,90001,KOBOKO,KOBOKO,5.5516,3.416666743,30.96666697
Uganda,UGA90007,UGA,90007,KATAKWI,KATAKWI,4.41778,1.916534384,33.95000069
Uganda,UGA90021,UGA,90021,BUGIRI,BUGIRI,4.18829,0.567805631,33.74290443
Uganda,UGA90013,UGA,90013,PALLISA,PALLISA,3.75585,1.166636916,33.70000063
Uganda,UGA90032,UGA,90032,NTUNGAMO,NTUNGAMO,3.37327,-0.84998843,30.28000069
Uganda,UGA90002,UGA,90002,ADJUMANI,ADJUMANI,2.77858,3.366666808,31.78333261
Uganda,UGA90026,UGA,90026,KALANGALA,KALANGALA,1.73999,-0.318441854,32.28153309
Uganda,UGA90030,UGA,90030,RAKAI,RAKAI,0.786242,-0.716659769,31.3999996
